utmx,utmy,X,Y,Five_ave_crime,Population65,NoHealthInsurance,Beer,MentalHealthPati,DrinkingPlaces,ReligiousPlaces
3466867.397,4559811.414,-90.387595,36.37404,7.90550386504519,128.11,38.99,10.469981,2.026123,5.473037,95.143413
3352142.883,4405191.083,-91.998781,35.510075,9.33300511446648,198.43,55.43,27.339969,3.361445,9.524458,111.099215
3404048.036,4203727.353,-92.155977,33.815391,7.87218644170903,40.54,11.22,5.022037,3.798867,4.365799,46.035527
3318801.48,4104250.155,-93.247109,33.255511,7.38935423557962,87.92,35.97,7.334717,1.825848,7.001168,129.455942
3284984.587,4330861.769,-92.875065,35.111303,9.08350845475261,113.99,40.17,28.73391,1.876201,14.311378,120.538148
3462265.004,4488370.904,-90.681947,35.844015,8.68394171606223,230.87,151.71,33.230593,45.736547,65.883396,374.086797
3133550.961,4324870.536,-94.344003,35.451495,8.80311848137892,181.76,91.89,27.488664,12.89911,36.880521,374.139017
3542402.778,4425665.268,-90.154121,35.14182,9.66400597455976,237.64,151.91,32.98829,14.939215,62.63953,263.795804
3480504.453,4414470.089,-90.765079,35.229859,8.61711227787439,118.24,48.19,21.56089,12.296768,12.118061,85.651783
3351599.504,4214589.644,-92.610649,34.034181,6.80930145512262,73.12,23.77,5.065029,8.404356,2.312117,53.97213
3439505.168,4185931.096,-91.882993,33.586464,8.08234293829624,85.95,27.63,10.776329,14.173803,6.483827,101.574351
3342065.563,4367040.568,-92.218844,35.242036,9.95910348425084,316.16,219.52,82.779158,19.331743,83.896174,610.791973
3170874.032,4358741.21,-93.878696,35.624244,8.05436992443806,57.04,16.37,10.014875,0.904975,7.526713,51.385752
3320267.697,4506207.864,-91.962564,36.377212,7.24268284607254,52.01,23.43,2.73957,0.365453,1.597083,21.174607
3295063.692,4245105.216,-93.047366,34.416188,10.5350802629797,463.67,228.27,78.399042,49.077402,113.783794,368.583757
3345742.86,4246390.018,-92.567293,34.296421,8.45809288164567,72.74,18.21,15.542997,3.232952,11.633902,121.527642
3465571.574,4532860.47,-90.49534,36.173074,8.44637399006085,137.93,66.29,19.085674,9.191082,19.679671,123.473466
3260684.483,4162408.533,-93.620451,33.854582,8.46985414824127,93.5,44.21,5.145044,3.564241,7.803552,90.132428
3282581.888,4230252.27,-93.210482,34.331756,7.84124175298199,134.36,54.07,26.78155,6.267178,13.64773,200.692646
3230392.702,4155863.463,-93.925394,33.877461,7.26661261566847,53.06,26.1,4.36548,0.608883,3.537229,45.778918
3387799.939,4429122.643,-91.582858,35.597624,9.56642385973919,137.87,68.51,11.604788,4.782352,19.342685,162.401149
3333282.332,4480005.291,-91.92754,36.139118,9.03206593469478,99.79,25.41,3.020161,0.547638,6.02382,29.862898
3418718.458,4464106.557,-91.173693,35.780776,8.5217667895531,91.17,39.19,9.617981,1.990857,12.546646,69.998245
3397274.356,4256823.096,-92.053554,34.243662,9.67796237364712,397.21,164.73,69.309775,21.785623,32.913233,498.102549
3199960.982,4349287.05,-93.628447,35.475367,8.50480970598582,97.02,64.09,6.839529,3.163854,7.059473,64.793729
3424965.773,4489699.723,-91.027145,35.959132,7.71446909778604,114.11,43.63,6.309891,5.376239,6.206899,91.405057
3512524.295,4367777.901,-90.625602,34.785605,8.32739972498118,79.49,28.2,8.057583,2.274386,7.180976,61.772421
3443592.245,4229251.485,-91.710579,33.909868,7.74680456637882,74.75,26.5,13.756316,18.164178,4.429953,95.823614
3231100.196,4125861.616,-94.006129,33.639257,8.09399024112122,81.74,23.75,3.376812,1.597257,5.799249,81.829605
3221489.582,4331982.009,-93.476388,35.284267,8.76045269881639,118.81,40,4.565296,1.124584,15.964364,145.725706
3407133.287,4324019.796,-91.747476,34.736278,9.31754480926513,239.29,123.87,84.984907,18.341495,61.903138,404.447935
3160720.354,4429675.194,-93.751926,36.208572,8.03241967879297,76.76,38.84,6.305111,3.115009,9.699558,68.397563
3266334.988,4474863.821,-92.584648,36.281656,8.98413835632453,107,22.63,3.369605,1.021526,2.970436,23.833933
3235294.279,4101634.217,-94.036511,33.438051,8.82216103698341,183.35,106.58,32.862381,15.333291,43.383211,314.613554
3533475.525,4528058.951,-89.879022,35.941338,9.08387853834171,176.42,97.82,43.33986,18.289866,15.264273,261.512997
3470615.61,4328882.473,-91.141523,34.603114,7.05221738521766,69.57,26.28,19.795327,0.605492,5.262949,49.13565
3244241.062,4252423.532,-93.505557,34.602279,7.83787460833357,81.23,28.63,16.911555,0.925804,4.662649,28.094076
3302200.865,4152964.469,-93.258631,33.677803,6.43330147277117,59.18,27.21,3.950678,2.307214,3.362978,43.874148
3217980.788,4430006.859,-93.19732,36.061087,7.4547452904781,51.14,9.98,1.563648,0.432129,1.849144,14.864926
3293073.895,4312916.176,-92.855125,34.950385,8.54665449084628,60.46,15.29,8.392494,0.927453,3.772684,54.219878
3255540.211,4184185.538,-93.604327,34.038356,7.56098438500887,62.11,27.8,25.783328,0.348567,4.374791,51.804211
3486733.509,4474820.887,-90.500527,35.671795,7.07474492541536,119.65,85.93,16.899272,16.29935,10.169109,164.575834
3191740.263,4230697.366,-94.070632,34.562555,8.29155232941585,134.12,62.57,5.512469,3.310042,3.884703,60.245712
3252632.027,4340674.295,-93.151669,35.271973,8.87651474824331,178.26,91.82,19.739396,6.516309,18.39973,282.928628
3419893.307,4328569.532,-91.613731,34.737211,7.81428420670685,68.95,24.63,18.271078,0.844733,3.753066,47.557314
3348248.189,4303594.572,-92.364291,34.73404,10.8299021657472,1426.96,777.23,410.543414,117.283464,422.240848,2080.181691
3423649.059,4537569.061,-90.87292,36.328468,8.10466843361843,78.67,28.39,2.981817,1.204221,4.401279,45.498431
3468531.255,4381388.422,-90.987431,35.010401,8.84849177057934,104.99,50.02,16.499796,5.7687,20.663524,61.60798
3352678.521,4288314.874,-92.371064,34.603949,9.66985559720835,361.84,120.16,150.261677,32.236825,81.293521,549.935867
3172781.114,4271126.896,-94.13018,34.928714,7.95080675860694,64.26,26.97,3.189772,0.525379,3.151086,34.774659
3132022.966,4315374.515,-94.387828,35.380201,8.74686479734014,417.35,276.57,57.336511,36.640753,148.561499,537.053796
3182568.508,4156196.444,-94.377488,33.996328,7.8594576625834,58.05,63.46,3.298207,0.522316,3.361029,61.728858
3312742.431,4439792.691,-92.257844,35.884142,7.03269126143127,52.46,14.72,0.94071,0.066591,1.365257,15.129821
3359517.844,4108456.461,-92.856332,33.187868,9.09841391976866,171.8,81.05,26.119578,13.355591,25.456473,215.646335
3288702.898,4388315.837,-92.655564,35.548922,8.04005217906276,64.1,33.24,4.527354,0.978537,3.135237,32.561846
3124146.894,4416540.044,-94.149375,36.199696,9.24883163549191,384.87,366.08,76.83025,30.957555,229.432932,561.462934
3368535.658,4365450.661,-91.97463,35.159043,9.58975900395085,217.36,109.87,25.377115,12.582733,19.780303,282.973642
3444836.003,4390187.177,-91.178595,35.142663,7.32136951920076,44.79,11.92,1.161073,0.413572,2.212873,27.206986
3234007.225,4304867.077,-93.441435,35.03958,8.77376528870056,104.24,45.61,6.894721,1.485446,5.716238,110.173609
591760.305,4153937.027,-121.9615,37.527844,11.0018610937063,4999.88,1595.17,1107.278964,601.705927,2461.165045,4795.096042
739210.0846,4269553.104,-120.255331,38.54225,9.23041950025813,243.55,47.42,6.779077,7.571524,65.984961,83.476544
628785.8149,4360988.477,-121.504539,39.388784,10.4700899786897,928.04,313.98,83.809296,107.984599,266.899439,544.749071
721460.2612,4223132.921,-120.473364,38.1289,9.74632115441478,314.38,39.4,15.390752,5.458622,71.433292,61.95358
561978.4134,4328859.312,-122.283172,39.106677,8.25129025025119,61.86,38.11,13.705515,1.399554,19.689365,31.096427
559544.9415,4199357.57,-122.322348,37.939848,10.4756941598167,3424.31,1059.35,465.52517,390.22735,1533.402081,2672.08248
414720.8842,4603976.456,-124.023062,41.58293,9.37336696324191,129.88,46.65,8.463217,16.657561,27.685695,79.136514
739194.4617,4289930.386,-120.248502,38.725681,10.7805506661132,817.19,212.26,68.979989,80.367998,427.886232,571.097089
786312.8349,4071166.742,-119.793375,36.74307,11.4267522296962,2392.24,1570.37,393.453024,236.542248,717.215062,3078.211127
567909.3691,4374936.576,-122.209926,39.521392,8.84975094787581,105.04,50.47,11.51418,4.053892,23.381938,99.088049
436001.1845,4504024.046,-123.757369,40.684624,10.1214893404117,522.06,258.2,41.671488,39.329352,165.636847,245.022049
1205321.353,3639609.085,-115.486684,32.668693,9.38847206018344,412.23,209.96,35.827441,11.088956,80.246432,260.686836
1028756.187,4027929.251,-117.117631,36.251518,8.7392847335628,115.68,26.56,11.903826,7.29895,38.434352,45.478989
857400.0243,3918398.01,-119.06781,35.34494,12.2079419188497,1743.81,1142.08,283.622006,214.237176,676.596262,2052.311379
775623.7311,4022988.354,-119.930133,36.312528,9.19179190462853,288.39,192.86,41.983846,8.513339,107.529745,282.537683
519882.3787,4302562.111,-122.770803,38.871682,9.82110328304523,332.78,107.8,12.068345,5.602691,56.295536,110.403456
