utmx,utmy,X,Y,Rate_per_100000,PopulationDensity,Beer,NoHealthInsurance,Cases,Neighbor_Disadvantage
1289230.913,3647264.986,-114.594268,32.680498,5.09497644253001,132833.5924,52.569979,529.77,286,15.541122
3473762.205,4296924.82,-91.21635,34.349886,5.5637538300525,997.004183,22.725548,27.37,38,0.922047
3447586.421,4151442.521,-91.914274,33.299483,4.9315920867558,601.937834,14.010182,53.34,23,0.097837
3284138.058,4484512.771,-92.3816,36.308297,4.66438204561994,2320.09345,9.540487,45.9,39,-3.233826
3114380.475,4431932.702,-94.195692,36.346352,4.78749174278205,53155.14646,106.269816,455.4,273,-21.127954
3226293.936,4472710.339,-92.977134,36.372565,4.33204826486764,2277.63908,7.684956,47.88,24,-1.282543
3412199.916,4184306.653,-92.140199,33.644146,4.90379219847821,190.629087,3.505851,56.73,12,1.249191
3390088.001,4163933.272,-92.407057,33.542677,5.19128879378951,16.55653,5.982599,18.56,8,-0.404368
3185821.947,4441852.299,-93.469359,36.238533,5.4359030295006,422.81735,10.377352,57.45,55,-1.741664
3508423.917,4170094.857,-91.299499,33.286022,5.8209727420676,311.333811,3.779508,37,29,2.361064
3280466.412,4204215.572,-93.30935,34.133292,5.01329841151574,2513.68568,11.941684,43.47,29,-1.412509
3466867.397,4559811.414,-90.387595,36.37404,4.29182836675573,714.557399,10.469981,38.99,9,1.310455
3352142.883,4405191.083,-91.998781,35.510075,4.70229689671881,791.62178,27.339969,55.43,24,-1.958417
3404048.036,4203727.353,-92.155977,33.815391,4.88809094133816,27.5062,5.022037,11.22,9,-0.000984
3318801.48,4104250.155,-93.247109,33.255511,5.13814861439522,1796.17702,7.334717,35.97,34,2.821931
3284984.587,4330861.769,-92.875065,35.111303,5.03954663759068,432.32888,28.73391,40.17,27,0.141585
3462265.004,4488370.904,-90.681947,35.844015,5.19739144795808,19027.98602,33.230593,151.71,164,1.261947
3133550.961,4324870.536,-94.344003,35.451495,4.68767140749983,5884.43708,27.488664,91.89,57,-0.692903
3542402.778,4425665.268,-90.154121,35.14182,6.32310369457549,20536.97362,32.98829,151.91,215,9.251217
3480504.453,4414470.089,-90.765079,35.229859,5.52226059803281,1182.267702,21.56089,48.19,34,0.740477
3498688.109,4242455.687,-91.161473,33.866174,5.25957653823161,108.8683,6.813835,18.05,18,4.584051
3439505.168,4185931.096,-91.882993,33.586464,5.06006017742378,419.514296,10.776329,27.63,24,0.212508
3342065.563,4367040.568,-92.218844,35.242036,5.06575459331733,24973.22452,82.779158,219.52,167,-5.79633
3170874.032,4358741.21,-93.878696,35.624244,4.4636066216663,130.22197,10.014875,16.37,13,-0.09811
3320267.697,4506207.864,-91.962564,36.377212,4.87519732320115,39.55559,2.73957,23.43,14,-0.108666
3295063.692,4245105.216,-93.047366,34.416188,5.50979311299456,15240.76317,78.399042,228.27,211,2.245859
3345742.86,4246390.018,-92.567293,34.296421,4.9111832151246,393.57998,15.542997,18.21,21,0.004138
3465571.574,4532860.47,-90.49534,36.173074,4.59107126160859,4246.58252,19.085674,66.29,37,0.5123
3260684.483,4162408.533,-93.620451,33.854582,4.9600435079802,1181.8866,5.145044,44.21,25,0.218773
3282581.888,4230252.27,-93.210482,34.331756,5.38081858805978,1681.57186,26.78155,54.07,63,-0.247843
3230392.702,4155863.463,-93.925394,33.877461,5.06638530920075,605.30152,4.36548,26.1,17,0.486444
3387799.939,4429122.643,-91.582858,35.597624,4.99043258677874,1092.58606,11.604788,68.51,46,-0.801065
3333282.332,4480005.291,-91.92754,36.139118,5.01992534100335,113.3443,3.020161,25.41,18,-0.343984
3418718.458,4464106.557,-91.173693,35.780776,5.60359374740077,445.11164,9.617981,39.19,39,1.630313
3397274.356,4256823.096,-92.053554,34.243662,6.22752432368874,22183.87404,69.309775,164.73,287,26.467176
3199960.982,4349287.05,-93.628447,35.475367,4.00186370942794,815.92735,6.839529,64.09,12,0.015307
3284918.335,4082863.15,-93.625262,33.170435,4.92870191133357,34.01302,2.941887,16.65,8,0.613861
3424965.773,4489699.723,-91.027145,35.959132,4.37449836825309,813.869787,6.309891,43.63,11,0.282382
3512524.295,4367777.901,-90.625602,34.785605,6.27438530245805,297.657182,8.057583,28.2,41,2.004989
3443592.245,4229251.485,-91.710579,33.909868,5.8254099627779,232.624213,13.756316,26.5,39,0.06152
3231100.196,4125861.616,-94.006129,33.639257,5.03695260241363,113.50128,3.376812,23.75,16,0.540405
3221489.582,4331982.009,-93.476388,35.284267,4.33598269617247,801.19668,4.565296,40,14,-0.038974
3407133.287,4324019.796,-91.747476,34.736278,4.78080275463125,6378.038132,84.984907,123.87,72,-3.350684
3160720.354,4429675.194,-93.751926,36.208572,4.54542018158232,159.7661,6.305111,38.84,13,0.037235
3266334.988,4474863.821,-92.584648,36.281656,4.87824610605051,156.97136,3.369605,22.63,19,0.060526
3235294.279,4101634.217,-94.036511,33.438051,5.80060665929174,15218.22302,32.862381,106.58,119,4.993398
3533475.525,4528058.951,-89.879022,35.941338,5.52465580875877,2999.7536,43.33986,97.82,83,7.569564
3470615.61,4328882.473,-91.141523,34.603114,5.81859814908478,48.912558,19.795327,26.28,19,1.365944
3244241.062,4252423.532,-93.505557,34.602279,4.33204826486764,38.88949,16.911555,28.63,6,0.225398
3302200.865,4152964.469,-93.258631,33.677803,5.15848042136024,46.347703,3.950678,27.21,12,0.815888
3350344.653,4172431.687,-92.750669,33.709307,5.52026019728573,1614.49161,6.274237,43.66,49,2.096545
3293073.895,4312916.176,-92.855125,34.950385,4.73356340075649,69.918111,8.392494,15.29,10,-0.194843
3508849.578,4305163.068,-90.866142,34.318367,5.8670344687298,1099.920179,18.576819,47.76,51,6.695726
3255540.211,4184185.538,-93.604327,34.038356,4.34380542185368,56.614901,25.783328,27.8,7,-0.910743
3486733.509,4474820.887,-90.500527,35.671795,4.57882621064849,1446.431484,16.899272,85.93,19,1.937175
3191740.263,4230697.366,-94.070632,34.562555,4.4224485491728,350.75783,5.512469,62.57,14,1.069932
3252632.027,4340674.295,-93.151669,35.271973,4.61214579972452,5252.491495,19.739396,91.82,54,-0.322116
3419893.307,4328569.532,-91.613731,34.737211,5.2406882537114,38.01639,18.271078,24.63,13,0.389245
3348248.189,4303594.572,-92.364291,34.73404,6.40803443494825,180145.6518,410.543414,777.23,1979,10.741438
3423649.059,4537569.061,-90.87292,36.328468,4.53367418428302,665.99519,2.981817,28.39,14,0.25536
3468531.255,4381388.422,-90.987431,35.010401,5.57821925168086,1555.48544,16.499796,50.02,56,3.090411
3352678.521,4288314.874,-92.371064,34.603949,4.8023803552758,13930.50312,150.261677,120.16,125,-5.67948
