utmx,utmy,X,Y,Depression_prevelence,PopulationDensity,Population65,NoHealthInsurance,Neighbor_Disadvantage,NatureParks,DrinkingPlaces
4622098.403,4482181.602,-80.73517,32.244672,15.39999962,1261.515,57.16,1.26,-1.059180148,15.284834,5.993185
4624565.858,4482915.515,-80.713013,32.241567,16.10000038,1195.98,48.5,2.21,-0.980899448,19.648535,7.701764
4627070.088,4481618.109,-80.698323,32.224801,20.10000038,1418.808,8.71,40.3,0.718299028,19.728758,5.071404
4628953.389,4481807.522,-80.682837,32.219958,17.10000038,978.9965,44.23,11.59,-0.587580646,12.086727,5.549869
4627163.586,4477333.519,-80.713917,32.195939,17.79999924,774.3167,16.73,19.5,-0.672044711,33.27338,11.896963
4627443.384,4474430.445,-80.722773,32.175679,16.70000076,628.4607,48.22,2.46,-0.662301865,31.814704,10.858581
4626876.608,4470208.632,-80.743266,32.149359,17.89999962,946.822,43.56,5.64,-0.78690806,30.277693,21.228525
4625616.924,4468163.19,-80.76091,32.139785,17.89999962,1765.162,31.01,16.98,-0.776181855,43.888191,22.607582
4614240.709,4642949.817,-80.167378,33.337885,19.89999962,61.58736,24.17,7.62,0.22889246,6.982176,1.889586
4614062.33,4622172.591,-80.252015,33.201109,21.70000076,33.99918,16.36,12.61,0.222209682,8.981732,3.529358
4640806.766,4662175.274,-79.88116,33.374699,22.29999924,85.44652,16.16,14.23,0.595313278,6.04212,1.348491
4620895.901,4659995.976,-80.046301,33.427896,17.89999962,37.65262,22.21,13.19,0.653090137,3.678159,1.031922
4651553.611,4654429.956,-79.82831,33.287318,23.5,54.73648,10.63,11.23,-0.018586285,8.195382,2.362905
4636644.131,4648867.573,-79.967534,33.301228,21.20000076,148.9561,22.26,7.51,-0.303869838,8.715258,3.517989
4667569.39,4646246.297,-79.736183,33.179307,22.79999924,12.95177,17.84,12.94,0.140581966,8.336068,3.38762
4668685.231,4598771.637,-79.917239,32.863602,19.70000076,700.9134,14.98,4.42,-0.778430422,104.786598,40.699059
4668009.281,4607189.608,-79.889076,32.92125,21.5,192.4165,10.58,4.32,-0.643129433,33.743553,15.442744
4668228.301,4621573.62,-79.830026,33.01508,19.70000076,41.28363,16.59,21.92,0.160798878,26.848433,7.034623
4628557.88,4632938.417,-80.095,33.22351,20.89999962,90.90975,21.21,8.17,-0.186779672,8.852949,4.496742
4638113.929,4635408.354,-80.01012,33.207592,20.20000076,568.6679,15.41,11.77,-0.025244326,22.781696,3.390414
4638520.216,4628308.805,-80.035383,33.159424,21.89999962,1304.765,8.05,13.8,-0.128796562,15.354432,6.389018
4640908.148,4633150.941,-79.997272,33.183295,21.89999962,765.7378,14.31,3.79,0.064000753,10.196995,3.631541
4648198.127,4622123.538,-79.984317,33.086096,21.60000038,232.0176,11.04,5.74,-0.564931655,17.372402,9.570196
4643598.328,4616053.616,-80.044551,33.061545,21.89999962,322.158,14.23,6.5,-0.167649416,43.103685,6.984464
4627489.951,4612563.068,-80.184771,33.09253,22.5,279.2308,7.84,4.66,-0.353328802,34.043112,6.857498
4632873.128,4621757.971,-80.105858,33.1352,21.10000038,552.2427,21.39,2.8,-0.727688142,18.510657,8.415713
4636509.207,4616944.493,-80.096548,33.091219,24.70000076,720.256,19.35,19.86,0.008263072,12.900707,5.653597
4634271.015,4612811.733,-80.130567,33.071444,21.39999962,332.1714,14.38,12.37,-0.040310791,29.306347,11.53461
4636190.952,4607102.626,-80.138224,33.027309,22.29999924,1732.039,15.39,8.21,-0.284818239,19.491078,7.331423
4637209.65,4609161.958,-80.12205,33.037496,24,4361.338,12.19,16.78,0.30892451,14.616123,4.82039
4640040.844,4606922.281,-80.108767,33.013227,21.60000038,2371.775,11.86,14.38,-0.19663894,15.202958,5.896696
4640142.58,4609394.14,-80.098141,33.029202,23.79999924,3311.334,7.26,17.24,0.237871086,12.256284,4.061878
4640030.405,4611577.148,-80.090333,33.043985,23.79999924,2789.204,8.83,15.9,0.080694222,13.792913,5.885252
4642725.9,4610672.029,-80.07282,33.028976,22.39999962,4101.168,10.17,9.97,-0.078937665,18.092839,5.205036
4644852.649,4609906.718,-80.059212,33.016798,21.10000038,3171.032,13.65,4.6,-0.731814626,15.246021,6.69925
4643407.149,4607247.072,-80.081108,33.004096,21,1471.71,16.94,4.97,-0.158595743,20.798632,9.521753
4645246.332,4608419.53,-80.062046,33.005669,21,3239.479,15.31,4.13,-0.947257034,15.129007,6.25342
4647346.479,4608220.135,-80.046401,32.997316,22.5,3163.271,15.7,16.79,0.233283233,11.523005,2.609986
4655280.084,4612582.709,-79.966991,32.999458,21.39999962,195.7029,0.72,5.87,-0.617517596,12.167431,8.304908
4655285.953,4607954.114,-79.985368,32.96895,25.20000076,2117.504,0.34,1.56,-0.972727064,13.544585,5.267589
4652026.904,4607326.844,-80.01334,32.975741,21,2802.685,15.42,19.26,-0.358351023,14.293504,5.752859
4647545.976,4611486.408,-80.031843,33.018184,23.29999924,3861.71,12.88,16.25,0.419893741,10.744923,3.148894
4649339.754,4612614.091,-80.013317,33.0196,20.79999924,1616.389,8.38,13.5,-0.5053803,13.912691,5.255021
4650306.701,4609358.886,-80.018711,32.994901,22.20000076,3396.387,8.92,14.16,0.132095416,15.403355,3.5234
4650298.99,4607975.528,-80.024274,32.985808,20.89999962,2107.606,15.55,15.57,-0.065277331,11.297222,3.416845
4651184.846,4605833.055,-80.025863,32.968716,21.70000076,3971.235,8.68,17.65,-0.202383869,13.857751,3.869025
4653153.934,4605613.935,-80.011337,32.960675,21.60000038,6676.618,11.68,22.96,0.171159413,11.060656,3.318376
4654524.244,4603439.908,-80.009262,32.941757,21.39999962,2333.173,6.88,2.91,-0.637549677,26.141605,7.920681
4656754.217,4599400.151,-80.007869,32.907669,22.70000076,5356.253,13.21,8.99,0.383166375,11.468569,2.788798
4655954.074,4600703.337,-80.008951,32.918935,20.79999924,2677.135,21.79,8.53,-0.474848997,20.481678,5.397538
4651907.016,4603118.265,-80.031,32.9484,20.79999924,2980.507,14.43,9.42,-0.585474835,22.574424,6.587971
4658978.877,4602110.02,-79.979738,32.918078,22.89999962,1302.199,12.75,26.95,0.104686783,16.919473,3.788771
4510689.753,4651531.845,-80.955097,33.743563,20.60000038,44.36736,22.23,11.7,0.122247822,8.045527,2.056582
4529363.671,4652358.493,-80.80244,33.686319,18.29999924,56.32253,21.69,9.94,0.499982861,7.323116,2.016887
4549038.683,4652370.507,-80.645553,33.620174,18.89999962,22.1804,22.32,4.73,-0.11133104,7.334638,2.930439
4671966.694,4586507.714,-79.940208,32.771913,18.70000076,7132.026,14.84,1.14,-0.267011537,43.566915,14.311318
